Work Order ID,Description,Status,Work Group,Program,Report Date,Service Address,Completion Date,Duration (hours),Failure Class,Problem,Service Request ID,Work Order Priority,Council District,Fiscal Year,Valid Duration,Meets Standard
19-403721,Tree Issue ROW---LIMBS BLOCKING SIDEWALK---8700 GEORGIAN DR,Closed,SBO Tree Sidewalk Program,Forestry,11/05/2019 03:22:53 PM,103 DEEN AVE,11/15/2019 08:30:00 AM,233.119,ROW Trees,Investigate Work Request,CSR19-00425806,2,4,FY2020,1,0
19-403724,"Obstruction in ROW---BUSHES--- 1819 VILLAGE OAK CT,",Closed,SBO Vegetation Management,Forestry,11/05/2019 04:16:51 PM,1819 VILLAGE OAK CT,11/18/2019 06:00:00 AM,301.719,ROW Vegetation,Investigate Work Request,CSR19-00425926,2,5,FY2020,1,0
19-403726,"Debris in Street---GLASS--- 600 W 15TH ST,",Closed,SBO After Hours,District Maintenance,11/05/2019 04:34:56 PM,605 W 15TH ST,11/05/2019 06:45:00 PM,2.168,Street Surface Assets,Debris in Street,CSR19-00425979,2,9,FY2020,1,1
19-403727,Tree Issue ROW---BROKEN LIMB SIDEWALK--- 2612 SHERWOOD LN,Closed,SBO Trees,Forestry,11/05/2019 04:55:47 PM,2612 SHERWOOD LN,11/06/2019 08:45:00 AM,15.82,ROW Trees,Investigate Work Request,CSR19-00426020,4,9,FY2020,1,1
19-403734,Tree Issue ROW Red River St. at E. 10th St.,Closed,SBO After Hours,District Maintenance,11/05/2019 05:19:51 PM,1100 RED RIVER ST,11/05/2019 06:15:00 PM,0.919,ROW Trees,Investigate Work Request,CSR19-00426070,2,9,FY2020,1,1
19-403733,Tree Issue ROW / E. 10th St at Red River St.,Closed,SBO After Hours,District Maintenance,11/05/2019 05:22:48 PM,507 E 10TH ST,11/05/2019 06:15:00 PM,0.87,ROW Trees,Investigate Work Request,CSR19-00426071,2,9,FY2020,1,1
19-403732,Tree Issue ROW / E. 11th st. at Red River St.,Closed,SBO After Hours,District Maintenance,11/05/2019 05:25:49 PM,603 E 11TH ST,11/05/2019 06:00:00 PM,0.57,ROW Trees,Investigate Work Request,CSR19-00426075,2,1,FY2020,1,1
19-403731,Tree Issue ROW / 1000 Red River St.,Closed,SBO After Hours,District Maintenance,11/05/2019 05:28:55 PM,1001 1/2 RED RIVER ST,11/05/2019 06:15:00 PM,0.768,ROW Trees,Investigate Work Request,CSR19-00426081,2,1,FY2020,1,1
19-403742,Obstruction in ROW/water heater/: 4807 LEATHERLEAF TRL,Closed,SBO District South,District Maintenance,11/06/2019 07:33:05 AM,4807 LEATHERLEAF TRL,11/06/2019 08:30:00 AM,0.949,Street Surface Assets,Obstruction,CSR19-00426471,2,2,FY2020,1,1
19-403744,Tree Issue ROW/fallen tree/ 5006 Cape Verde Cove.,Closed,SBO Trees,Forestry,11/06/2019 08:28:49 AM,5006 CAPE VERDE CV,11/06/2019 03:45:00 AM,-4.73,ROW Trees,Investigate Work Request,CSR19-00426619,4,2,FY2020,0,-1
19-403752,1,Closed,SBO Trees,Forestry,11/06/2019 10:04:54 AM,7813 CROFTWOOD DR,11/06/2019 04:45:00 AM,-5.332,ROW Trees,Investigate Work Request,CSR19-00426854,5,8,FY2020,0,-1
19-403754,Debris in Street/dresser/CAMERON RD & WESTHEIMER DR,Closed,SBO District North,District Maintenance,11/06/2019 10:07:48 AM,6900 CAMERON RD,11/06/2019 10:30:00 AM,0.37,Street Surface Assets,Obstruction,CSR19-00426868,2,4,FY2020,1,1
19-403760,"Debris in Street/mattress/1106 BRASS ST,","Work Complete, Final Review Pending",SBO District Central,District Maintenance,11/06/2019 11:10:49 AM,1102 1/2 BRASS ST,11/06/2019 11:00:00 AM,-0.18,Street Surface Assets,Debris in Street,CSR19-00427025,2,3,FY2020,0,-1
19-403761,Tree Issue ROW---LOW LIMBS STREET---1403 MERIDEN LN,Closed,SBO Trees,Forestry,11/06/2019 11:28:51 AM,1403 MERIDEN LN,11/07/2019 06:15:00 AM,18.769,ROW Trees,Investigate Work Request,CSR19-00427062,3,10,FY2020,1,1
19-403763,Tree Issue ROW---LOW LIMBS STREET---2404 SHOALMONT DR,Closed,SBO Trees,Forestry,11/06/2019 11:34:51 AM,2404 SHOALMONT DR,11/25/2019 07:45:00 AM,452.169,ROW Trees,Investigate Work Request,CSR19-00427078,2,7,FY2020,1,0
19-403762,Tree Issue ROW/Low/811 E 41st.,Closed,SBO Trees,Forestry,11/06/2019 11:40:55 AM,811 E 41ST ST,11/26/2019 08:15:00 AM,476.568,ROW Trees,Investigate Work Request,CSR19-00427087,2,9,FY2020,1,0
19-403765,Debris in Street/Auto Parts/2399 S 1st St,Closed,SBO District South,District Maintenance,11/06/2019 11:52:49 AM,2400 S 1ST ST,11/06/2019 01:15:00 PM,1.37,Street Surface Assets,Debris in Street,CSR19-00427110,2,9,FY2020,1,1
19-403764,Debris in Street---GLASS---8801 CAMERON RD,Closed,SBO District North,District Maintenance,11/06/2019 11:52:49 AM,8801 CAMERON RD,11/06/2019 12:45:00 PM,0.87,Street Surface Assets,Debris in Street,CSR19-00427118,2,1,FY2020,1,1
19-403768,Debris in Street---GRAVEL---1200 E 7TH ST,"Work Complete, Final Review Pending",SBO District Central,District Maintenance,11/06/2019 12:10:50 PM,1200 1/2 E 7TH ST,11/06/2019 01:45:00 PM,1.569,Street Surface Assets,Debris in Street,CSR19-00427144,2,1,FY2020,1,1
19-403769,Street & Bridge - General/bench/ 615 E 5TH ST,"Work complete, Ready for QA (Quality Assurance)",SBO District Central,District Maintenance,11/06/2019 12:25:51 PM,615 1/2 E 5TH ST,11/06/2019 01:00:00 PM,0.569,Street Surface Assets,Debris in Street,CSR19-00427174,2,9,FY2020,1,1
19-403771,Tree Issue ROW/low limbs/12900 GARFIELD LN,Closed,SBO Trees,Forestry,11/06/2019 12:25:52 PM,12900 GARFIELD LN,11/06/2019 09:00:00 AM,-3.431,ROW Trees,Investigate Work Request,CSR19-00427175,5,6,FY2020,0,-1
19-403772,"Debris in Street/AC Compressor/BRODIE LN & W WILLIAM CANNON DR,",Closed,SBO District South,District Maintenance,11/06/2019 01:01:52 PM,3501 1/2 W WILLIAM CANNON DR,11/06/2019 02:45:00 PM,1.719,Street Surface Assets,Debris in Street,CSR19-00427261,2,8,FY2020,1,1
